id,target
0,0
2,0
3,0
9,1
11,1
12,0
21,1
22,0
27,0
29,0
30,0
35,0
42,0
43,1
45,1
46,0
47,0
51,1
58,1
60,1
69,0
70,1
72,0
75,0
84,1
87,1
88,1
90,0
94,0
99,1
101,0
103,0
106,0
108,1
111,0
115,1
116,0
122,1
123,0
124,1
125,1
127,0
140,1
142,0
147,1
148,0
150,0
152,0
154,0
155,0
166,1
167,0
169,0
177,0
179,0
181,0
186,0
188,1
189,1
192,0
200,1
202,0
206,1
207,1
214,0
217,0
223,0
224,0
227,0
228,0
230,0
233,1
234,0
236,1
239,0
250,0
255,0
257,1
259,0
275,0
278,0
282,0
284,0
286,0
288,0
292,0
295,0
300,1
304,0
305,0
306,0
308,0
311,0
317,0
319,0
323,0
324,1
325,0
326,1
333,1
339,1
342,1
343,0
350,0
351,0
357,0
359,0
362,1
366,0
367,0
369,0
373,0
374,1
376,0
377,0
378,0
379,1
382,1
385,0
387,1
388,0
391,0
392,0
395,0
399,1
400,1
403,1
405,0
408,1
411,0
414,0
416,1
417,0
422,0
425,0
428,1
430,1
431,0
433,0
434,1
439,0
441,0
449,0
458,0
460,1
464,0
473,1
488,0
491,0
494,0
497,1
500,0
505,1
507,0
508,0
510,0
511,0
515,0
525,0
529,0
532,0
534,0
537,0
539,0
541,0
545,0
547,0
548,0
549,0
553,0
554,1
555,1
557,0
562,0
566,1
572,0
573,0
582,1
586,0
587,1
590,0
591,0
593,0
595,0
596,0
597,0
601,0
602,1
605,0
610,1
616,0
618,0
620,0
626,1
627,0
629,0
632,1
634,1
639,0
645,1
647,1
648,0
650,0
663,0
666,1
668,0
670,0
673,0
676,0
678,1
692,0
693,1
694,0
695,0
696,0
698,0
701,0
703,0
707,0
708,1
711,0
715,1
718,1
722,0
723,1
733,1
741,1
742,0
743,0
747,0
749,1
750,0
756,0
757,1
760,1
764,0
765,0
766,0
768,1
769,0
771,1
772,1
776,0
778,1
780,1
785,1
789,1
792,0
793,0
811,0
813,1
816,0
821,0
824,0
825,1
827,0
830,1
831,0
839,0
844,0
847,0
850,0
854,1
855,0
858,0
861,1
862,1
865,0
869,0
879,1
880,0
887,0
889,1
897,0
900,0
901,0
904,0
908,0
909,0
910,0
913,1
914,0
917,1
918,0
920,0
922,0
924,0
925,0
927,0
933,0
937,1
943,1
949,1
950,1
954,0
966,0
967,1
969,0
970,0
973,0
975,1
980,1
988,0
989,0
995,0
1000,0
1003,1
1007,0
1011,1
1012,0
1013,1
1014,1
1016,0
1019,0
1025,0
1027,1
1028,1
1030,1
1033,0
1034,1
1039,0
1046,0
1047,1
1053,0
1055,0
1056,0
1059,0
1060,1
1063,1
1064,0
1068,1
1076,0
1086,1
1087,1
1089,1
1092,1
1095,0
1096,0
1097,0
1100,1
1101,1
1107,1
1108,0
1111,0
1115,0
1116,1
1121,1
1125,0
1127,1
1131,0
1133,0
1135,1
1137,0
1140,0
1144,1
1147,0
1148,0
1150,0
1158,1
1159,0
1161,0
1163,0
1165,1
1169,1
1171,0
1172,0
1176,1
1180,1
1184,0
1186,0
1187,0
1192,0
1193,0
1194,0
1197,1
1200,0
1205,1
1210,1
1216,0
1220,0
1231,1
1233,1
1246,0
1247,0
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,1
1265,0
1266,0
1268,0
1274,0
1281,0
1285,0
1286,1
1291,0
1292,1
1295,0
1299,0
1306,0
1310,1
1311,1
1313,0
1314,0
1322,0
1323,0
1325,0
1329,1
1330,0
1333,0
1336,1
1339,1
1342,0
1344,0
1355,0
1357,1
1358,1
1359,1
1364,0
1366,1
1367,1
1370,1
1373,1
